d,v
1996-04-01,47165
1996-04-02,47119
1996-04-03,47113
1996-04-08,47124
1996-04-09,47130
1996-04-10,47043
1996-04-11,47072
1996-04-12,46933
1996-04-15,46951
1996-04-16,46923
1996-04-17,46998
1996-04-18,46962
1996-04-19,46972
1996-04-22,46827
1996-04-23,46907
1996-04-24,46846
1996-04-25,46907
1996-04-26,46962
1996-04-29,46972
1996-04-30,46871
1996-05-02,47046
1996-05-03,47104
1996-05-06,47224
1996-05-07,47260
1996-05-08,47274
1996-05-09,47248
1996-05-10,47279
1996-05-13,47163
1996-05-14,47145
1996-05-15,47200
1996-05-16,47434
1996-05-17,47442
1996-05-20,47519
1996-05-21,47516
1996-05-22,47429
1996-05-23,47446
1996-05-24,47356
1996-05-27,47517
1996-05-28,47553
1996-05-29,47621
1996-05-30,47719
1996-05-31,47589
1996-06-03,47695
1996-06-04,47556
1996-06-05,47815
1996-06-06,47753
1996-06-07,47448
1996-06-11,47544
1996-06-12,47559
1996-06-13,47502
1996-06-14,47467
1996-06-18,47399
1996-06-19,47595
1996-06-20,47606
1996-06-21,47690
1996-06-24,47645
1996-06-25,47724
1996-06-26,47830
1996-06-27,47897
1996-06-28,47989
1996-07-01,47861
1996-07-02,47982
1996-07-03,47912
1996-07-04,47958
1996-07-05,47901
1996-07-08,47879
1996-07-10,47910
1996-07-11,47863
1996-07-12,48180
1996-07-15,47975
1996-07-16,48119
1996-07-17,48005
1996-07-18,47909
1996-07-19,47943
1996-07-22,47821
1996-07-23,47837
1996-07-24,47886
1996-07-25,47817
1996-07-26,47855
1996-07-29,47946
1996-07-30,47843
1996-07-31,47995
1996-08-01,47784
1996-08-02,47942
1996-08-05,47876
1996-08-06,47904
1996-08-07,47845
1996-08-08,47956
1996-08-09,47911
1996-08-12,47818
1996-08-13,47818
1996-08-14,47807
1996-08-15,47784
1996-08-16,47847
1996-08-20,47808
1996-08-21,47862
1996-08-22,47870
1996-08-23,47797
1996-08-26,47722
1996-08-27,47908
1996-08-28,47922
1996-08-29,47914
1996-08-30,48048
1996-09-02,48003
1996-09-03,47937
1996-09-04,47976
1996-09-05,48016
1996-09-06,47991
1996-09-09,48013
1996-09-10,47970
1996-09-11,47996
1996-09-12,47940
1996-09-13,47832
1996-09-16,47957
1996-09-17,48023
1996-09-18,48052
1996-09-19,47977
1996-09-20,47978
1996-09-23,47876
1996-09-24,48062
1996-09-25,48141
1996-09-26,48162
1996-09-27,48249
1996-09-30,48275
1996-10-01,48406
1996-10-02,48361
1996-10-03,48317
1996-10-04,48577
1996-10-07,48513
1996-10-08,48537
1996-10-09,48562
1996-10-10,48601
1996-10-11,48501
1996-10-14,48422
1996-10-15,48270
1996-10-16,48328
1996-10-17,48347
1996-10-18,48465
1996-10-21,48679
1996-10-22,48290
1996-10-23,48521
1996-10-24,48256
1996-10-25,48566
1996-10-28,48294
1996-10-29,48745
1996-10-30,48519
1996-10-31,48488
1996-11-01,48513
1996-11-04,48556
1996-11-05,48946
1996-11-06,48982
1996-11-07,48702
1996-11-08,48984
1996-11-11,49033
1996-11-12,48806
1996-11-13,48777
1996-11-14,48940
1996-11-15,48978
1996-11-18,49108
1996-11-19,49111
1996-11-20,49181
1996-11-21,49025
1996-11-22,48906
1996-11-25,48913
1996-11-26,49084
1996-11-27,49229
1996-11-28,49147
1996-11-29,49846
1996-12-02,49807
1996-12-03,49830
1996-12-04,49904
1996-12-05,49965
1996-12-06,50072
1996-12-09,50013
1996-12-10,50202
1996-12-11,49985
1996-12-12,50375
1996-12-13,50380
1996-12-16,50483
1996-12-17,50575
1996-12-18,50592
1996-12-19,50767
1996-12-20,50926
1996-12-23,51153
1996-12-24,51164
1996-12-26,51159
1996-12-27,51019
1996-12-30,51205
1997-01-02,51104
1997-01-03,51182
1997-01-06,51219
1997-01-07,51096
1997-01-08,51112
1997-01-09,51088
1997-01-10,51175
1997-01-13,51029
1997-01-14,51020
1997-01-15,51116
1997-01-16,51177
1997-01-17,51173
1997-01-20,51166
1997-01-21,51355
1997-01-22,51266
1997-01-23,51138
1997-01-24,51184
1997-01-27,51200
1997-01-28,51188
1997-01-29,51282
1997-01-30,51362
1997-01-31,51478
1997-02-03,51509
1997-02-04,51510
1997-02-05,51666
1997-02-06,51693
1997-02-07,51556
1997-02-10,51528
1997-02-11,51553
1997-02-12,51683
1997-02-13,51580
1997-02-14,51558
1997-02-17,51571
1997-02-18,51585
1997-02-19,51647
1997-02-20,51674
1997-02-21,51679
1997-02-24,51474
1997-02-25,51513
1997-02-26,51506
1997-02-27,51504
1997-02-28,51591
1997-03-03,51910
1997-03-04,51938
1997-03-05,51926
1997-03-06,51902
1997-03-07,51838
1997-03-10,51815
1997-03-11,51990
1997-03-12,51807
1997-03-13,51816
1997-03-14,51748
1997-03-17,51702
1997-03-18,51709
1997-03-19,51877
1997-03-20,51898
1997-03-21,51870
1997-03-24,51915
1997-03-25,51947
1997-03-26,52279
1997-03-31,52298
1997-04-01,52450
1997-04-02,52395
1997-04-03,52388
1997-04-04,52344
1997-04-07,52346
1997-04-08,52394
1997-04-09,52434
1997-04-10,52332
1997-04-11,52321
1997-04-14,52323
1997-04-15,52385
1997-04-16,52128
1997-04-17,52235
1997-04-18,52203
1997-04-21,52364
1997-04-22,52260
1997-04-23,52278
1997-04-24,52260
1997-04-25,52281
1997-04-28,52424
1997-04-29,52615
1997-04-30,52909
1997-05-02,53051
1997-05-05,53115
1997-05-06,53148
1997-05-07,53156
1997-05-08,53021
1997-05-09,53180
1997-05-12,53334
1997-05-13,53399
1997-05-14,53536
1997-05-15,53597
1997-05-16,53387
1997-05-19,53461
1997-05-20,53704
1997-05-21,53717
1997-05-22,53643
1997-05-23,53659
1997-05-26,53733
1997-05-27,53807
1997-05-28,53828
1997-05-29,54034
1997-05-30,54039
1997-06-02,54294
1997-06-03,54139
